Fecha,Hora (UTC),HR
14-07-2022,17:00,65.0
14-07-2022,18:00,64.0
14-07-2022,19:00,59.0
14-07-2022,20:00,53.0
14-07-2022,21:00,75.0
14-07-2022,22:00,81.0
14-07-2022,23:00,86.0
15-07-2022,0:00,88.0
15-07-2022,1:00,86.7
15-07-2022,2:00,87.5
15-07-2022,3:00,90.0
15-07-2022,4:00,93.6
15-07-2022,5:00,94.8
15-07-2022,6:00,96.0
15-07-2022,7:00,96.5
15-07-2022,8:00,96.6
15-07-2022,9:00,97.0
15-07-2022,10:00,97.0
15-07-2022,11:00,96.0
15-07-2022,12:00,96.0
15-07-2022,13:00,96.0
15-07-2022,14:00,92.0
15-07-2022,15:00,88.0
15-07-2022,16:00,81.0
15-07-2022,17:00,73.0
15-07-2022,18:00,69.0
15-07-2022,19:00,74.0
15-07-2022,20:00,66.0
15-07-2022,21:00,62.0
15-07-2022,22:00,65.0
15-07-2022,23:00,68.0
16-07-2022,0:00,68.0
16-07-2022,1:00,68.5
16-07-2022,2:00,83.6
16-07-2022,3:00,86.0
16-07-2022,4:00,89.9
16-07-2022,5:00,88.3
16-07-2022,6:00,92.0
16-07-2022,7:00,94.8
16-07-2022,8:00,94.7
16-07-2022,9:00,95.0
16-07-2022,10:00,96.0
16-07-2022,11:00,96.0
16-07-2022,12:00,96.0
16-07-2022,13:00,97.0
16-07-2022,14:00,90.0
16-07-2022,15:00,74.0
16-07-2022,16:00,65.0
16-07-2022,17:00,54.0
16-07-2022,18:00,49.0
16-07-2022,19:00,45.0
16-07-2022,20:00,51.0
16-07-2022,21:00,50.0
16-07-2022,22:00,59.0
16-07-2022,23:00,80.0
17-07-2022,0:00,86.0
17-07-2022,1:00,92.3
17-07-2022,2:00,94.2
17-07-2022,3:00,95.0
17-07-2022,4:00,94.9
17-07-2022,5:00,95.2
17-07-2022,6:00,94.0
17-07-2022,7:00,90.9
17-07-2022,8:00,90.8
17-07-2022,9:00,91.0
17-07-2022,10:00,93.0
17-07-2022,11:00,94.0
