Fecha,Hora (UTC),HR
20-07-2023,0:00,68.0
20-07-2023,1:00,74.6
20-07-2023,2:00,79.1
20-07-2023,3:00,79.0
20-07-2023,4:00,80.7
20-07-2023,5:00,78.5
20-07-2023,6:00,80.0
20-07-2023,7:00,84.4
20-07-2023,8:00,85.7
20-07-2023,9:00,85.0
20-07-2023,10:00,88.0
20-07-2023,11:00,94.0
20-07-2023,12:00,93.0
20-07-2023,13:00,85.0
20-07-2023,14:00,68.0
20-07-2023,15:00,64.0
20-07-2023,16:00,55.0
20-07-2023,17:00,48.0
20-07-2023,18:00,45.0
20-07-2023,19:00,41.0
20-07-2023,20:00,41.0
20-07-2023,21:00,50.0
20-07-2023,22:00,58.0
20-07-2023,23:00,68.0
21-07-2023,0:00,72.0
21-07-2023,1:00,75.7
21-07-2023,2:00,74.8
21-07-2023,3:00,79.0
21-07-2023,4:00,80.3
21-07-2023,5:00,88.6
21-07-2023,6:00,93.0
21-07-2023,7:00,91.7
21-07-2023,8:00,91.8
21-07-2023,9:00,94.0
21-07-2023,10:00,96.0
21-07-2023,11:00,96.0
21-07-2023,12:00,82.0
21-07-2023,13:00,88.0
21-07-2023,14:00,83.0
21-07-2023,15:00,77.0
21-07-2023,16:00,64.0
21-07-2023,17:00,60.0
21-07-2023,18:00,58.0
21-07-2023,19:00,65.0
21-07-2023,20:00,76.0
21-07-2023,21:00,90.0
21-07-2023,22:00,90.0
21-07-2023,23:00,89.0
22-07-2023,0:00,88.0
22-07-2023,1:00,95.4
22-07-2023,2:00,97.7
22-07-2023,3:00,99.0
22-07-2023,4:00,97.6
22-07-2023,5:00,100.0
22-07-2023,6:00,100.0
22-07-2023,7:00,100.0
22-07-2023,8:00,100.0
22-07-2023,9:00,100.0
22-07-2023,10:00,100.0
22-07-2023,11:00,100.0
22-07-2023,12:00,100.0
22-07-2023,13:00,100.0
22-07-2023,14:00,98.0
22-07-2023,15:00,96.0
22-07-2023,16:00,93.0
22-07-2023,17:00,89.0
22-07-2023,18:00,97.0
22-07-2023,19:00,97.0
22-07-2023,20:00,97.0
22-07-2023,21:00,94.0
22-07-2023,22:00,91.0
22-07-2023,23:00,98.0
23-07-2023,0:00,98.0
23-07-2023,1:00,100.0
23-07-2023,2:00,100.0
23-07-2023,3:00,100.0
23-07-2023,4:00,100.0
23-07-2023,5:00,100.0
23-07-2023,6:00,100.0
23-07-2023,7:00,100.0
23-07-2023,8:00,100.0
23-07-2023,9:00,100.0
23-07-2023,10:00,100.0
23-07-2023,11:00,100.0
23-07-2023,12:00,100.0
23-07-2023,13:00,100.0
23-07-2023,14:00,100.0
23-07-2023,15:00,100.0
23-07-2023,16:00,87.0
23-07-2023,17:00,84.0
23-07-2023,18:00,88.0
23-07-2023,19:00,82.0
23-07-2023,20:00,84.0
23-07-2023,21:00,83.0
23-07-2023,22:00,92.0
23-07-2023,23:00,92.0
24-07-2023,0:00,95.0
24-07-2023,1:00,99.3
24-07-2023,2:00,98.8
24-07-2023,3:00,99.0
24-07-2023,4:00,100.0
24-07-2023,5:00,100.0
24-07-2023,6:00,100.0
24-07-2023,7:00,100.0
24-07-2023,8:00,100.0
24-07-2023,9:00,100.0
24-07-2023,10:00,100.0
24-07-2023,11:00,100.0
24-07-2023,12:00,100.0
24-07-2023,13:00,100.0
24-07-2023,14:00,100.0
24-07-2023,15:00,76.0
24-07-2023,16:00,63.0
24-07-2023,17:00,54.0
24-07-2023,18:00,52.0
